#time,ax,ay,az,dumb1,dumb2,dumb3,vel,press,alt,tiltang
12974,-0.11,-0.15,-0.15,0.00,0.23,2.00,0.00,1006.17,147.91,88.945
12983,-0.11,-0.17,-0.19,0.00,0.27,2.02,0.00,1006.17,147.96,88.881
12999,-0.12,-0.16,-0.22,0.00,0.30,1.87,0.00,1006.17,147.96,88.722
13011,-0.12,-0.15,-0.18,0.00,0.26,1.94,0.00,1006.17,147.95,88.675
13026,-0.12,-0.15,-0.17,0.00,0.26,1.66,0.00,1006.17,147.95,88.675
13036,-0.12,-0.15,-0.17,0.00,0.26,1.91,0.00,1006.15,148.13,88.721
13053,-0.12,-0.15,-0.20,0.00,0.28,1.77,0.00,1006.15,148.13,88.743
13063,-0.13,-0.16,-0.23,0.00,0.31,1.93,0.00,1006.15,148.09,88.766
13077,-0.14,-0.16,-0.28,0.00,0.36,1.83,0.00,1006.15,148.09,88.740
13089,-0.15,-0.16,-0.32,0.00,0.39,1.76,0.00,1006.17,147.90,88.657
13105,-0.16,-0.16,-0.36,0.00,0.43,1.14,0.00,1006.17,147.90,88.471
13114,-0.14,-0.19,-0.32,0.00,0.40,0.66,0.00,1006.19,147.74,88.471
13130,-0.14,-0.19,-0.30,0.00,0.38,0.13,0.00,1006.19,147.74,88.194
13142,-0.17,-0.18,-0.35,0.00,0.43,-0.74,0.00,1006.24,147.35,87.708
13156,-0.12,-0.15,-0.27,0.00,0.33,-1.21,0.00,1006.24,147.35,86.842
13166,-0.12,-0.13,-0.13,0.00,0.22,-2.07,0.00,1006.25,147.25,86.732
13183,-0.09,-0.12,0.09,0.00,0.17,-2.26,0.00,1006.25,147.25,86.662
13193,-0.10,-0.10,0.17,0.00,0.22,-2.83,0.00,1006.25,147.30,86.615
13207,-0.11,-0.09,0.23,0.00,0.27,-2.66,0.00,1006.25,147.30,86.718
13219,-0.11,-0.12,0.23,0.00,0.28,-2.36,0.00,1006.21,147.61,86.777
13235,-0.11,-0.12,0.19,0.00,0.25,-1.60,0.00,1006.21,147.61,86.824
13244,-0.12,-0.10,0.13,0.00,0.20,-0.86,0.00,1006.18,147.86,86.824
13260,-0.13,-0.10,0.02,0.00,0.16,-0.05,0.00,1006.18,147.86,86.796
13272,-0.15,-0.14,-0.09,0.00,0.22,0.72,0.00,1006.17,147.91,86.806
13286,-0.15,-0.19,-0.20,0.00,0.31,0.93,0.00,1006.17,147.91,86.732
13296,-0.15,-0.18,-0.28,0.00,0.37,1.29,0.00,1006.17,147.91,86.616
13313,-0.16,-0.16,-0.34,0.00,0.40,1.11,0.00,1006.17,147.91,86.491
13323,-0.18,-0.16,-0.40,0.00,0.47,1.00,0.00,1006.19,147.76,86.396
13337,-0.16,-0.18,-0.32,0.00,0.40,0.72,0.00,1006.19,147.76,86.283
13349,-0.15,-0.20,-0.28,0.00,0.38,0.36,0.00,1006.21,147.57,86.185
13365,-0.15,-0.23,-0.26,0.00,0.38,-0.03,0.00,1006.21,147.57,85.893
13374,-0.17,-0.22,-0.36,0.00,0.46,-0.33,0.00,1006.21,147.63,85.893
13390,-0.17,-0.22,-0.37,0.00,0.46,-0.41,0.00,1006.21,147.63,85.756
13402,-0.15,-0.23,-0.32,0.00,0.43,-0.83,0.00,1006.25,147.29,85.845
13416,-0.17,-0.24,-0.30,0.00,0.41,-0.96,0.00,1006.25,147.29,85.804
13426,-0.18,-0.22,-0.33,0.00,0.44,-1.31,0.00,1006.25,147.26,85.691
13441,-0.18,-0.21,-0.38,0.00,0.47,-1.50,0.00,1006.25,147.26,85.710
13453,-0.18,-0.21,-0.37,0.00,0.46,-2.01,0.00,1006.26,147.16,85.929
13467,-0.16,-0.22,-0.33,0.00,0.43,-1.96,0.00,1006.26,147.16,86.462
13478,-0.15,-0.21,-0.27,0.00,0.37,-2.06,0.00,1006.25,147.31,86.618
13494,-0.15,-0.18,-0.23,0.00,0.33,-1.73,0.00,1006.25,147.31,86.776
13504,-0.14,-0.18,-0.19,0.00,0.30,-1.55,0.00,1006.23,147.46,86.946
13518,-0.14,-0.20,-0.18,0.00,0.30,-1.08,0.00,1006.23,147.46,87.249
13529,-0.13,-0.23,-0.14,0.00,0.30,-0.65,0.00,1006.22,147.54,87.335
13545,-0.14,-0.23,-0.13,0.00,0.30,-0.29,0.00,1006.22,147.54,87.350
13554,-0.18,-0.22,-0.21,0.00,0.36,0.20,0.00,1006.19,147.78,87.350
13571,-0.20,-0.25,-0.20,0.00,0.37,0.46,0.00,1006.19,147.78,87.349
13582,-0.18,-0.25,-0.11,0.00,0.33,0.81,0.00,1006.18,147.84,87.377
13597,-0.19,-0.23,-0.06,0.00,0.31,0.98,0.00,1006.18,147.84,87.391
13607,-0.18,-0.25,-0.13,0.00,0.33,1.51,0.00,1006.16,148.04,87.383
13623,-0.16,-0.25,-0.16,0.00,0.34,1.57,0.00,1006.16,148.04,87.385
13634,-0.16,-0.25,-0.23,0.00,0.38,1.82,0.00,1006.17,147.97,87.387
13647,-0.15,-0.25,-0.24,0.00,0.38,1.80,0.00,1006.17,147.97,87.330
13659,-0.16,-0.25,-0.25,0.00,0.39,1.85,0.00,1006.18,147.84,87.253
13675,-0.15,-0.24,-0.24,0.00,0.37,1.39,0.00,1006.18,147.84,87.020
13684,-0.16,-0.24,-0.23,0.00,0.37,1.23,0.00,1006.18,147.85,87.020
13700,-0.15,-0.23,-0.21,0.00,0.34,0.94,0.00,1006.18,147.85,86.928
13712,-0.15,-0.24,-0.21,0.00,0.35,0.68,0.00,1006.19,147.76,86.914
13727,-0.16,-0.21,-0.19,0.00,0.33,0.50,0.00,1006.19,147.76,86.973
13737,-0.14,-0.22,-0.13,0.00,0.30,0.44,0.00,1006.19,147.77,87.018
13754,-0.12,-0.25,-0.09,0.00,0.29,0.28,0.00,1006.19,147.77,87.071
13764,-0.12,-0.22,-0.07,0.00,0.26,0.16,0.00,1006.19,147.73,87.111
